all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
AC026391.1	SVIL	1	PRAD
SLC16A9	CSGALNACT2	1	THCA
MRLN	RET	1	THCA
CCDC6	SLC16A9:HERC4:FGFR2:KITLG	4	ESCA:STAD:BRCA:LUSC
ANK3	RET:CCDC6:TFAM:CCNY:KIAA0930:TRAPPC8:AC010997.2:SLC16A9:TOM1L2	9	THCA:OV:UCEC:BRCA:BLCA:LUAD
AL592430.1	KDM3A	1	BRCA
IL2RA	GDI2:PARD3	2	STAD:UCEC
CDK1	ANK3:MCOLN2	2	BRCA:LUAD
RBM17	PFKFB3	1	SARC
LINC00845	PAK1	1	BRCA
TMEM26	NEBL	1	BRCA
TMEM26-AS1	TACC2	1	BRCA
C10orf107	ZMIZ1	1	OV
AL157395.1	SYNE2	1	OV
PFKFB3	LARP4B:ELOVL5	2	BRCA:KIRP
RTKN2	DIP2C:KCNMB4:KAT6B:REEP3:ERC1:ADAMTS17	6	UCS:PRAD:BRCA:ESCA:OV
ZNF365	TACC2:FAM13C:CCNK	3	STAD:BLCA:SARC
NRBF2	JMJD1C:REEP3	2	GBM:THCA
JMJD1C	ATAD1:PCDHGA4:PCDHGB3:PCDHGA6	4	PRAD:SKCM
REEP3	PPIF	1	BRCA
AC022387.1	MIB1	1	LIHC
PRKCQ	GALNT2	1	BRCA
AC024600.1	OTUD7A	1	OV
PRKCQ-AS1	NFE2L3	1	PAAD
CTNNA3	ABCC2:JMJD1C:HK1:PBX1:DNAJB12:P4HA1	6	LIHC:OV:PRAD:BRCA
LRRTM3	VPS26A:ADK:ANKRD22	3	OV:BRCA:PRAD
LINC00707	TRAK1:WDFY3	2	LIHC:BLCA
DNAJC12	SIRT1	1	LUSC
PBLD	HERC4	1	STAD
HNRNPH3	TET1:CCAR1:VPS26A	3	STAD:UCEC:LAML:BLCA
RUFY2	HERC4:LRMDA	2	BRCA
SLC25A16	DNAJB12	1	BRCA
TET1	CCAR1	1	OV:UCEC
CCAR1	DDX50:ZNF423:DDX21	3	STAD:UCS:CESC
STOX1	DDX21:DDX50:SNHG3	3	OV:ESCA:HNSC
DDX50	HK1	1	BRCA:OV
DDX21	SUPV3L1	1	ESCA
KIF1BP	VPS26A:TAOK1	2	ACC:BRCA
VPS26A	USP6NL:SUPV3L1:HKDC1:TSPAN15:AP2A2	5	UCEC:OV:BRCA
SUPV3L1	UBR1	1	BRCA
HKDC1	PCGF5:MIRLET7BHG	2	KIRC:BLCA
HK1	TSPAN15:IFIT5:CDC123:FAM49B	4	BLCA:COAD:MESO:STAD
TSPAN15	MICU1:USP54:TBC1D32	3	OV:LIHC:SARC
C10orf35	APIP:EEF2K	2	BRCA:LUSC
H2AFY2	BMPR1A	1	UCEC
TYSND1	VDAC2	1	BRCA
NPFFR1	SAR1A	1	LUAD
LRRC20	AIFM2:PPA1:SAR1A	3	ESCA:BRCA
NODAL	NUTM2A-AS1:SAR1A	2	LUAD:OV
PALD1	PPA1:SGPL1	2	OV:BRCA
ADAMTS14	SGPL1	1	STAD:OV
PCBD1	UVRAG	1	PRAD
SLC29A3	HNRNPH3:ERBB2	2	STAD:BRCA
